symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
UNFI,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1020859/000102085926000013/0001020859-26-000013-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1020859/000102085926000013/unfi-20260609.htm,False,
UNFI,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1020859/000102085926000013/0001020859-26-000013-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1020859/000102085926000013/q3fy26-earningsrelease.htm,False,
DKNG,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1883685/000110465926071581/0001104659-26-071581-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1883685/000110465926071581/tm2617134d1_8k.htm,False,
XXII,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1347858/000149315226027838/0001493152-26-027838-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1347858/000149315226027838/form8-k.htm,True,
XXII,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1347858/000149315226027838/0001493152-26-027838-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1347858/000149315226027838/ex10-1.htm,False,
COCP,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1412486/000149315226027837/0001493152-26-027837-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1412486/000149315226027837/form8-k.htm,False,
COCP,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1412486/000149315226027837/0001493152-26-027837-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1412486/000149315226027837/ex10-1.htm,False,
DBI,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1319947/000131994726000038/0001319947-26-000038-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1319947/000131994726000038/dbi-20260609.htm,False,
DBI,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1319947/000131994726000038/0001319947-26-000038-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1319947/000131994726000038/q120268-kex991pressrelease.htm,True,
LE,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/799288/000119312526262940/0001193125-26-262940-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/799288/000119312526262940/le-20260609.htm,False,
LE,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/799288/000119312526262940/0001193125-26-262940-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/799288/000119312526262940/le-ex99_1.htm,True,
NATH,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/69733/000143774926019921/0001437749-26-019921-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/69733/000143774926019921/nath20260527_8k.htm,False,
NATH,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/69733/000143774926019921/0001437749-26-019921-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/69733/000143774926019921/ex_969027.htm,False,
USGO,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/0001493152-26-027825-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/form8-k.htm,False,
USGO,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/0001493152-26-027825-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/ex99-1.htm,False,
USGOW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/0001493152-26-027825-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/form8-k.htm,False,
USGOW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/0001493152-26-027825-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1947244/000149315226027825/ex99-1.htm,False,
NUTR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2006468/000149315226027820/0001493152-26-027820-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/2006468/000149315226027820/form8-k.htm,False,
NUTR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2006468/000149315226027820/0001493152-26-027820-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/2006468/000149315226027820/ex10-1.htm,False,
NUTR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2006468/000149315226027820/0001493152-26-027820-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/2006468/000149315226027820/ex10-2.htm,False,
BNAI,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/form8-k.htm,True,
BNAI,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/ex10-1.htm,False,
DHCAW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/form8-k.htm,True,
DHCAW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/ex10-1.htm,False,
BNAIW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/form8-k.htm,True,
BNAIW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/ex10-1.htm,False,
DHCAU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/form8-k.htm,True,
DHCAU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/ex10-1.htm,False,
DHCA,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/form8-k.htm,True,
DHCA,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/0001493152-26-027818-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1838163/000149315226027818/ex10-1.htm,False,
LODE,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1120970/000143774926019911/0001437749-26-019911-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1120970/000143774926019911/lode20260605_8k.htm,False,
IPCXR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/0001213900-26-066511-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/ea0294063-8k425_inflect3.htm,True,
IPCXR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/0001213900-26-066511-index.htm,EX-99.1,"INVESTOR PRESENTATION, DATED JUNE 2026",https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/ea029406301ex99-1.htm,False,
IPCXU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/0001213900-26-066511-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/ea0294063-8k425_inflect3.htm,True,
IPCXU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/0001213900-26-066511-index.htm,EX-99.1,"INVESTOR PRESENTATION, DATED JUNE 2026",https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/ea029406301ex99-1.htm,False,
IPCX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/0001213900-26-066511-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/ea0294063-8k425_inflect3.htm,True,
IPCX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/0001213900-26-066511-index.htm,EX-99.1,"INVESTOR PRESENTATION, DATED JUNE 2026",https://www.sec.gov/Archives/edgar/data/2012318/000121390026066511/ea029406301ex99-1.htm,False,
NOVT,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1076930/000119312526262867/0001193125-26-262867-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1076930/000119312526262867/novt-20260608.htm,True,
NOVT,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1076930/000119312526262867/0001193125-26-262867-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1076930/000119312526262867/novt-ex10_1.htm,True,
NOVT,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1076930/000119312526262867/0001193125-26-262867-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1076930/000119312526262867/novt-ex99_1.htm,False,
CRVO,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1053691/000143774926019909/0001437749-26-019909-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1053691/000143774926019909/crvo20260609_8k.htm,False,
DFFN,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1053691/000143774926019909/0001437749-26-019909-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1053691/000143774926019909/crvo20260609_8k.htm,False,
AITX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/0001062993-26-003112-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/form8k.htm,False,
AITX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/0001062993-26-003112-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/exhibit99-1.htm,False,
AITXD,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/0001062993-26-003112-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/form8k.htm,False,
AITXD,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/0001062993-26-003112-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1498148/000106299326003112/exhibit99-1.htm,False,
