symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
FITBP,0000035527,2026-06-10 00:00:00,2026-06-10 16:34:19,8-K,False,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/0001193125-26-265928-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/d129179d8k.htm
FITBI,0000035527,2026-06-10 00:00:00,2026-06-10 16:34:19,8-K,False,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/0001193125-26-265928-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/d129179d8k.htm
HUMA,0001818382,2026-06-10 00:00:00,2026-06-10 16:34:18,8-K,False,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/0001104659-26-072382-index.htm,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/tm2617224d1_8k.htm
HUMAW,0001818382,2026-06-10 00:00:00,2026-06-10 16:34:18,8-K,False,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/0001104659-26-072382-index.htm,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/tm2617224d1_8k.htm
AHACU,0001818382,2026-06-10 00:00:00,2026-06-10 16:34:18,8-K,False,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/0001104659-26-072382-index.htm,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/tm2617224d1_8k.htm
AHAC,0001818382,2026-06-10 00:00:00,2026-06-10 16:34:18,8-K,False,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/0001104659-26-072382-index.htm,https://www.sec.gov/Archives/edgar/data/1818382/000110465926072382/tm2617224d1_8k.htm
PRCT,0001588978,2026-06-10 00:00:00,2026-06-10 16:33:57,8-K,False,https://www.sec.gov/Archives/edgar/data/1588978/000158897826000026/0001588978-26-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1588978/000158897826000026/prct-20260609.htm
FCX,0000831259,2026-06-10 00:00:00,2026-06-10 16:31:21,8-K,False,https://www.sec.gov/Archives/edgar/data/831259/000083125926000030/0000831259-26-000030-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125926000030/fcx-20260610.htm
KIDZ,0002022308,2026-06-10 00:00:00,2026-06-10 16:30:28,8-K,False,https://www.sec.gov/Archives/edgar/data/2022308/000147793226003751/0001477932-26-003751-index.htm,https://www.sec.gov/Archives/edgar/data/2022308/000147793226003751/kidz_8k.htm
KIDZW,0002022308,2026-06-10 00:00:00,2026-06-10 16:30:28,8-K,False,https://www.sec.gov/Archives/edgar/data/2022308/000147793226003751/0001477932-26-003751-index.htm,https://www.sec.gov/Archives/edgar/data/2022308/000147793226003751/kidz_8k.htm
BR,0001383312,2026-06-10 00:00:00,2026-06-10 16:30:23,8-K,False,https://www.sec.gov/Archives/edgar/data/1383312/000138331226000019/0001383312-26-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331226000019/br-20260609.htm
VISM,0001082733,2026-06-10 00:00:00,2026-06-10 16:29:55,8-K,False,https://www.sec.gov/Archives/edgar/data/1082733/000165495426005858/0001654954-26-005858-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495426005858/vism_8k.htm
VISMD,0001082733,2026-06-10 00:00:00,2026-06-10 16:29:55,8-K,False,https://www.sec.gov/Archives/edgar/data/1082733/000165495426005858/0001654954-26-005858-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495426005858/vism_8k.htm
