Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,"Equipment Sales, Related Parties, Equipment Sales, Hosting Service, Related Parties, Equipment Sales, Customers",-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,20.5%,-,-
Liquidity & Cash Flow,CapEx ($k),"-1,029,859","-724,558","-478,510","-265,191","-147,047","-94,961","-77,848","-49,416","-46,516","-16,161","-144,741","-147,217","-334,100","-601,657","-404,633","-476,414"
Liquidity & Cash Flow,FCF ($k),"-471,202","-460,910","-354,125","-256,625","-171,277","-51,940","-26,929","1,099","20,116","48,239","13,942","-46,040","-105,356","-396,470","-146,418","-89,574"
BQR-Mid-Mkt,Total Debt / Equity,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,14.4x,2.8x
BQR,Total Debt / Adj Ebitda,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,3.8x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x,999.0x
BQR,Adj Ebitda / Interest Expense,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,1.7x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x
BQR,Net Income before extraordinary ($k),"-1,216,497","-293,058","-772,749","-1,081,348","-949,445","-1,315,005","-1,245,157","-831,044","-35,408","-246,487","-485,641","-879,287","-1,680,502","-2,146,318","-1,650,965","-1,232,802"
BQR,(NCO-CAPEX) / Total Debt,-22.92%,-43.47%,-33.44%,-22.08%,-14.34%,-4.33%,-4.74%,0.18%,3.07%,5.57%,1.61%,-157.69%,-11.22%,-1050.78%,-13.94%,-7.80%
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,52,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,65,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,65,75,75,75,75,75,75
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,65.5,72.5,75.0,75.0,75.0,75.0,75.0,75.0
